file_name,cases.0.samples.0.submitter_id,cases.0.case_id,id
02759563-fa2b-4d96-ab78-dd7fee7513d4.htseq.counts.gz,TCGA-BH-A0E0-01A,20e8106b-1290-4735-abe4-7621e08e3dc8,00af6745-18ba-4c18-9b9e-95e79d5915b8
6419a6e7-9e3d-4c0e-9ae9-e14b9ae02661.htseq.counts.gz,TCGA-E9-A243-01A,d4a1ecdc-399c-4f82-aa7a-68a0c82ded3f,6aa2d357-a2e7-4b85-a552-8cc8700424aa
17f01a59-b1fc-4a6e-86f3-51fc2cd0398a.htseq.counts.gz,TCGA-A1-A0SF-01A,4b620966-b4c7-4615-bf58-ca9d3226b9bd,09bd7af3-ae7d-4070-94c4-6e187678ceab
cf169f96-4fcd-4cc7-bea7-97a9a259b78a.htseq.counts.gz,TCGA-BH-A0EB-01A,ec6930e5-2d83-435a-9a57-a2c5c22caf02,cf0111e5-6a38-4abe-8833-87b3639d6983
8131b1ee-eb8a-4d50-a106-724a798645a9.htseq.counts.gz,TCGA-AR-A0TU-01A,dfe6db17-cf45-488e-bd3c-b8433d7343ca,28cd052a-fae5-4af6-a005-217d98b5cc4e
a4c7b6e8-ed30-42b2-9daa-0cf0b9d59259.htseq.counts.gz,TCGA-BH-A1FC-01A,b97bf89a-7a85-4eef-ae7e-f787aead1f0a,c4b77187-0c37-43bd-8f73-5bcbb5f52964
6de5c310-794b-4a9e-8777-0382a0584157.htseq.counts.gz,TCGA-B6-A0RQ-01A,caa9b533-24b4-4ecd-9159-c165de049f6a,deafec17-af55-4dd4-8231-ae49af1b4382
de2ffea0-e172-45e2-aa15-f543758deb78.htseq.counts.gz,TCGA-D8-A1JA-01A,9ced0c70-c46c-4f98-8f48-840defe4b8b1,72a84769-39e4-45be-abce-f38b8be9d597
b938ae4d-f9cc-42d2-bcf4-5dc14e8fb372.htseq.counts.gz,TCGA-AR-A2LH-01A,376ffe63-efd7-42af-90e1-261255b28bb7,43e66062-d628-444e-bea8-f13b08fd0c29
25de1c24-bb1d-40a7-b62f-b54d6184426c.htseq.counts.gz,TCGA-A2-A0YE-01A,84a88e8d-1e65-4b88-aae6-bf4c7a7e4c33,7ee113ee-8433-49a3-b6c2-3a9507825681
754aad86-ccb1-4716-84fc-abe77e4b3e2d.htseq.counts.gz,TCGA-AR-A24X-01A,491d5ebb-e9ab-4b17-acb8-630ff9fef0f2,95bf5bc4-ae0e-4e65-b60d-a210e662891e
bd7bf37d-b076-4e82-bc73-83454dba8ff1.htseq.counts.gz,TCGA-EW-A1IX-01A,e8614b7d-132e-4b4e-b1ae-df8bb4f2d4d4,ba9d0da2-a9c1-4335-9f82-be19733b9c47
658ec1a1-9948-4be6-a4e2-44ea4655d29c.htseq.counts.gz,TCGA-AN-A04D-01A,49717f75-0f2d-4e1c-9a12-f1cd7877b80a,0e6339ed-7f6b-47f8-a11e-3a443a351601
4e2d8faa-1d4a-41d6-ad45-a8206cfd9c90.htseq.counts.gz,TCGA-BH-A0HX-01A,3b01d064-8c00-4972-9f07-407eac8e7534,8bd0e259-f50c-41f2-b12d-9c683ec38ab1
4870a03e-aa72-4058-b347-5cb2861fa3a3.htseq.counts.gz,TCGA-AR-A1AH-01A,a6e11b30-3ae8-4dd1-b04c-a730c6a79746,f7af1d69-50bc-4b3a-9b26-a9a4aa299fc7
64262505-9f17-4989-94c9-fc6db56ca676.htseq.counts.gz,TCGA-AO-A1KS-01A,bb8d42d3-ad65-4d88-ae1d-f9aadfc7962d,d8b83d06-a8cf-411f-80f7-cd6847a1f5c7
